company_rating,job_title,job_location,company_industry,company_size,company_type,company_sector,company_career_opportunities_rating,company_comp_and_benefits_rating,company_culture_and_values_rating,company_work/life_balance_rating,reviews_by_same_job_pros,reviews_by_same_job_cons,employee_benefit_reviews
3.4,"Software Engineer, Platform - Back-End","Redwood City, CA",Enterprise Software & Network Solutions,501 to 1000 Employees,Company - Public,Information Technology,3.6,4,3.1,2.7,"[""Smart people from top schools"",""Solid product with a great culture"",""Best Workplace Challenging work Competitive salary"",""Perks were incredible, work from home as much as you want and pretty much did my own hours."",""The job offer is good and the benefits are too.""]","[""C3 AI has a culture of hard work, which unfortunately for many (not all) leads to heavy burnout."",""no work from home, even after multiple people got covid in the office"",""Benefits need to be more family friendly to compete for more senior positions.""]","[""15 PTOs, 5 sick days annually"",""Good work benifits with free lunch and happy hour."",""Free lunches, employee stock purchase program""]"
4.2,Business Process Analyst,"Atlanta, GA","Airlines, Airports & Air Transportation",10000+ Employees,Company - Public,Transportation & Logistics,4.1,4.1,4.2,3.8,"[""The benefits are good."",""Great culture and teamwork atmosphere"",""Good Work/Life Balance"",""Pay is good."",""Some great people""]","[""There's no cons at all that benefits are amazing!!"",""first culture thar has made the company successful"",""Little work life balance but it's manageable."",""pay is a little lower than other companies""]","[""Delta recently extended their fertility benefits and now partner with Progyny "",""Flight benefits are wonderful but the volume of work makes it difficult to find time to use them"",""The flight benefits are the main benefit, but know that you are flying on standby and that you do not have a confirmed seat. Maternity benefits are great if you need them and depend on the department you are in. We get a 401K match and annual profit sharing that are great too. The health benefits are not great and many providers do not take them.""]"
3.6,Financial Analyst III,"New York, NY",State & Regional Agencies,Unknown,Government,Government & Public Administration,3.6,3.7,3.1,3.4,"[""Flexible and work life balance"",""Exceptional benefits and insurance packages."",""Great management."",""befits were great."",""Fast paced and you learn a lot about an interesting industry.""]","[""No work life balance, constant emails and meetings.""]","[""None that I can think of."",""The best things is they give 3 months off for paternity/ maternity leave"",""Health Insurance was very good.""]"
3.2,"Frontend Software Engineer Graduate, TikTok Infrastructure - 2025 Start (BS/MS)","San Jose, CA",Internet & Web Services,10000+ Employees,Company - Private,Information Technology,3,3.5,2.9,2.7,"[""Benefits of the company is really good"",""Salary is good and very comfortable"",""Work life balance and nice pay."",""great company and culture for NG"",""management = good""]","[""Bad benefits."",""Low salary compare to competitors"",""work life balance is bad"",""Have to tolerate the toxic culture and managers."",""They do not like you questioning bad management.""]","[""100 phone bill reimbursement monthly "",""Standard package. Good time off policy."",""Neutral on the benefits here""]"
3.6,IT Enterprise Business Analyst 1/2,"Atlanta, GA",State & Regional Agencies,10000+ Employees,Government,Government & Public Administration,3.2,3.1,3.3,3.8,"[""Holidays and benefits good and work life balance""]","[""Pay is low in comparison to private sector"",""Limited growth opportunities, low salaries""]","[""great people , great weather, great all around"",""Health insurance is fairly inexpensive, and the options are pretty decent.  Cheaper to insure the whole family on most of these plans than with previous prior private employers. "",""Sick and annual leave benefits grow over time. ""]"
3.5,Financial Analyst- Onsite Position,"Hawthorne, NY",Health Care Services & Hospitals,Unknown,Company - Private,Healthcare,3.6,3.9,3.1,3,[],"[""bad leadership in the dept, no guidance with projects""]","[""Limited maternity leave, great tuition reimbursement"",""Aetna has been excellent. Cigna dental is sub par. Previous pension plan "",""Union benefits good place to work""]"
3.9,Program Coordinator in Academic Administration,"Houston, TX",Health Care Services & Hospitals,Unknown,Hospital,Healthcare,3.6,3.8,3.6,3.7,"[""The benefits along with the job flexibility were good."",""Great people (plus or minus the usual \""special\"" more challenging people)"",""Flexibility Decent Pay Healthcare Benefits Supportive Team (every team is different)""]","[""Pay is below market average and city's salary average."",""Toxic management, little to no training"",""This experience was very different from my past employment at UTHealth which I really enjoyed.""]","[""Dental Plan worst Part, A lot of Paid Time Off a Plus "",""Everything was great and affordable."",""It was great and cool""]"
3.9,Early Careers: Employee Experience Analyst – New York – 2025,"New York, NY",Business Consulting,10000+ Employees,Company - Public,Management & Consulting,3.7,3.6,4,3.8,"[""Worklife balance"",""Great colleagues Interesting work projects"",""The Salary wasnt too bad"",""nice culture and company, good learning""]","[""I'm sure this is the same with most employees and companies out there, but I would like a higher salary."",""The team too on too much work No work life balance Bad culture"",""High cost and high deductible.""]","[""Ease of use for selection"",""Only high deductible med plans offered"",""Benefits aren't the best in terms of coverage / price however the pension offering makes up for some of the short comings.""]"
3.6,"Branded Content Producer, Business Affairs, Premium Content Production","Santa Monica, CA",Internet & Web Services,10000+ Employees,Company - Public,Information Technology,3.6,3.8,3.5,3.2,"[""Great benefits and that’s it"",""The pay is good"",""Flexible and good work life balance"",""If your manager and team are great, it can be a good company to work for."",""Great culture and can be sustainabrl""]","[""No benefits for VCC contratcs."",""Less pay"",""no work life balance at all"",""Layoffs, manager was arrogant, HR was not responsive, over workload"",""Toxic culture with a \""you are lucky to be employed\"" approach""]","[""Full benefits and scholarship options for career advancement are nice. "",""Benefits are OKAY... Considering they are one of 5 largest companies in the world, they could be a lot better when it comes to monthly premiums, 401k matching, and deductible amounts. If you work as a driver or warehouse worker for more than a year, you can be almost certain that you will be using your medical insurance. No sick days,  all of your PTO accrues by June for the whole year, and its very hard save it for when you really need it during 6-10 weeks of peak season working mandatory 60 hour weeks. "",""Car rentals, hotels, and flights are extremely cheap when searching from internal Amazon benefit site""]"
3.7,Senior Full-Stack Software Engineer (Onsite),"San Diego, CA",Aerospace & Defense,10000+ Employees,Subsidiary or Business Segment,Aerospace & Defense,3.5,3.6,3.4,3.7,"[""it's fine work and good work life balance"",""good pay"",""Good benefits (401k, PTO, etc)"",""Great management"",""Good people, interesting technology and customers, ripe for opportunities.""]","[""Low Pay compared to Peers"",""Compensation and benefits are just average for the industry, merit increases leave something to be desired, has a big company feel"",""Management changed 4 times while I was employed there."",""Many many incompetant and lazy people who dont care and just bill hours.""]","[""Great 401(k) match at 6% of salary."",""Health benefits are through Cigna and mediocre. 401k matching is fine but not great. Nice thing is that they offer an HSA option and EAP credits."",""401K, PTO, Health Insurance (basic benefits)""]"
3.8,Front End (React) Engineer,"London, England",Enterprise Software & Network Solutions,501 to 1000 Employees,Company - Private,Information Technology,3.6,3.4,3.8,3.9,"[""Good people all around you"",""Good salary"",""while we live in a reality of companies raising and falling, I personally feel like Tipalti has a great business model, goals and management that consistently push the company to achieve new achievements and it seems like Tipalti is going to be the best company in the solution it offers and it is going to happen fast."",""Great culture, happy hour every week, nice people and high level of r&amp;d"",""Nice benefits.""]","[""Below Average salary, no agile attitude, bad option plan, executive team don't see the rest of the company as even, no company events"",""Management is not transparent with the employees"",""Not the best culture.""]","[""Benefits overall were really great."",""Not all offices have the same amount of paid holidays and benefits change per location to accommodate country regulations. If one country  mandates better benefits, it would be nice for all the offices to receive the better benefits. Even from state to state in the US it is different.  "",""None, below average perks in the overall tech industry""]"
4.3,Senior Reporting & Data Analyst,"Ithaca, NY",Colleges & Universities,10000+ Employees,College / University,Education,4.1,4,4.2,4,"[""Good pay, decent work life balance"",""Good research environment and benefits for staff"",""great people, views, resources, overall great"",""Not too stressful with flexible hours"",""Ample resources and opportunities.""]","[""Low Pay compaired to other universities"",""Isolated town, long dark winters, unreasonable working expectations, few benefits, little support"",""long hours with long commute"",""Supervisor disrespected me and limited opportunities for career growth.""]","[""Fertility benefits are amazing. Paid barely anything for IVF and other fertility related treatment. Aetna insurance. 22 weeks of parental leave once baby is here. Plus 4 weeks of leave prior to birth. "",""good stipend, housing, meal, travel reimbursement"",""Best: Premier Insurance, 2 weeks of annual paid leave\nWorst: Lower than industry salary""]"
3.5,"Product Manager, International","London, England",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.1,3.9,3.6,3.6,"[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]","[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
3.9,Sr. Product Manager/Product Manager- Patient Marketing,"Research Triangle Park, NC",Biotech & Pharmaceuticals,1001 to 5000 Employees,Company - Public,Pharmaceutical & Biotechnology,3.2,4.2,4.1,4,"[""Great benefits such as free cafeteria, gym, pool, and stock options."",""I have had good career growth during my time here.""]",[],"[""Amazing insurance. Free lunches. Lots of employee perks!"",""Competitive salary, great stock options. "",""The on-site cafeteria is amazing!""]"
3.6,"Programmatic Solutions Consultant, PSC - US, Programmatic Solutions Consultant","New York, NY",Internet & Web Services,10000+ Employees,Company - Public,Information Technology,3.6,3.8,3.5,3.2,"[""Pay is good and fair"",""Good benefits and flexibility !"",""Flexible hours and great with students."",""management and pay were great"",""The work culture is good and I never felt that I was new in the company""]","[""Low pay and more targets to meet"",""no benefits or complain support for seasonal or contract employees"",""Long hours and can be difficult working all night if you’re not used to it."",""Management was poor and the responsibility to pay ratio did not seem adequate"",""Bad work culture and hectic schedules""]","[""Full benefits and scholarship options for career advancement are nice. "",""Benefits are OKAY... Considering they are one of 5 largest companies in the world, they could be a lot better when it comes to monthly premiums, 401k matching, and deductible amounts. If you work as a driver or warehouse worker for more than a year, you can be almost certain that you will be using your medical insurance. No sick days,  all of your PTO accrues by June for the whole year, and its very hard save it for when you really need it during 6-10 weeks of peak season working mandatory 60 hour weeks. "",""Car rentals, hotels, and flights are extremely cheap when searching from internal Amazon benefit site""]"
4.4,VP of Product Design and Development,"Atlanta, GA",Home Furniture & Housewares Stores,51 to 200 Employees,Company - Private,Retail & Wholesale,4,4.3,4.4,4.4,"[""Benefits are great."",""Leadership is also very approachable, caring, and receptive to feedback."",""Ridiculously generous PTO and benefits package, from day 1, along w/ 401K match better than most companies"",""Great coworkers"",""Competitive Pay!""]","[""Leadership is open to changing the ways things work, but it takes time."",""20 days PTO No Sick days."",""Your coworkers are amazing folks who are fun to work with so you find yourself wondering what you're missing out on.""]","[""Great benefits, 3 weeks combined pto"",""Nugget has a pretty generous PTO / Wellness time policy, 401k matching up to 4%, 12 weeks paid parental leave (for non birthing parents as well!), and employee covered health insurance, dental and vision. There is some room for growth with other perks and additional benefits, but the basics are covered. They also do a sabbatical at 5 years!"",""Fully paid for but not many resources for how to understand/use it""]"
3.8,Embedded Software Engineer,"Alameda, CA",Health Care Services & Hospitals,10000+ Employees,Company - Public,Healthcare,3.5,3.8,3.6,3.4,"[""Good benefit and help me improved my skills"",""Fun place to work and full of good people"",""they have good pay for contractor compared to other companies"",""on average, good management"",""Good work life balance and for initial career stages""]","[""No benefits at Christmas only part of your salary"",""People are kinda lazy."",""Pay is low for tech workers compared to many other sectors."",""Some bad management."",""No work life balance""]","[""Great benefits, my favorite is that if you have a student loan and prove you’re making monthly payments then they will contribute to your 401K. I’m paying down my loans and saving for retirement it’s amazing! Also, the PTO is great. Right off the bat you get 3 weeks of vacation if you are a permanent employee. "",""Better than average health insurance coverage. The discount on Abbott products is nice. "",""The medical and childcare FSA are great""]"
3.6,"Programmatic Solutions Consultant, PSC - US, Programmatic Solutions Consultant","New York, NY",Internet & Web Services,10000+ Employees,Company - Public,Information Technology,3.6,3.8,3.5,3.2,"[""Pay is good and fair"",""Good benefits and flexibility !"",""Flexible hours and great with students."",""management and pay were great"",""The work culture is good and I never felt that I was new in the company""]","[""Low pay and more targets to meet"",""no benefits or complain support for seasonal or contract employees"",""Long hours and can be difficult working all night if you’re not used to it."",""Management was poor and the responsibility to pay ratio did not seem adequate"",""Bad work culture and hectic schedules""]","[""Full benefits and scholarship options for career advancement are nice. "",""Benefits are OKAY... Considering they are one of 5 largest companies in the world, they could be a lot better when it comes to monthly premiums, 401k matching, and deductible amounts. If you work as a driver or warehouse worker for more than a year, you can be almost certain that you will be using your medical insurance. No sick days,  all of your PTO accrues by June for the whole year, and its very hard save it for when you really need it during 6-10 weeks of peak season working mandatory 60 hour weeks. "",""Car rentals, hotels, and flights are extremely cheap when searching from internal Amazon benefit site""]"
3.8,Software Engineer,"San Jose, CA",Internet & Web Services,10000+ Employees,Company - Public,Information Technology,3.4,3.8,3.7,3.8,"[""Work life balance is good"",""good pay and benefits/working policies"",""Good culture best practices and process followed"",""+ Good benefits""]","[""Work life balance is bad"",""no potential growth; low pay compared with other fintech companies; the tech stack is old."",""5 years, the culture has gone for a toss because of them carrying their bad legacy from past companies."",""Better benefits."",""Frequent layoffs and No stability""]","[""Overall, decent benefits, but not over the top."",""Great benefits including unlimited PTO."",""Benefits are good.  However, health insurance provider could be better.""]"
3.2,Financial Analyst II - west elm,"New York, NY",Home Furniture & Housewares Stores,1001 to 5000 Employees,Subsidiary or Business Segment,Retail & Wholesale,2.9,2.8,3.1,2.9,"[""$24 hourly pay is competitive within the market, but was reduced from $25/hour during the pandemic."",""Great management and great place to work."",""Good people and company values."",""Benefits are great and the furniture is beautiful."",""The office is beautiful, inside and outside.""]","[""And they would expect you to offer interior design services but with the low pay of a sales associate."",""DON’T COVER MANY THINGS AND HUGE OUT OF POCKET PREMIUMS CONFLICTING DIRECTIONS DUE TO POOR MANAGEMENT Avoid this company and Williams"",""Not people friendly, promote wrong people"",""No benefits for part time.""]","[""nothing. the job and perks were awesome"",""The employee discount is decent if you're into furniture and decor. At the time it was nearly 50% off. \n"",""Designer discount is nice to have.""]"
3.9,Software Developer II - GeoAnalytics Engine,"Redlands, CA",Software Development,1001 to 5000 Employees,Company - Private,Information Technology,3.6,3.5,4.1,4,"[""Pay and benefits also competitive."",""Work life balance is great"",""friendly, great benefits."",""Good people to work with."",""Culture is good.""]","[""Pay is low"",""Work life balance doesn't exist"",""Health benefits could be better.""]","[""Excellent health benefits. Excellent travel benefits."",""Generous benefits especially fully paid healthcare for employee and dependents."",""Annual bonuses and match to 401k""]"
4.1,Product Partnerships Manager,"New York, NY",Financial Transaction Processing,501 to 1000 Employees,Company - Private,Financial Services,4,4.3,3.8,3.4,"[""Some nice coworkers"",""Good benefits"",""Pay was competitive if not above average."",""Not a toxic sales environment, culture is great""]","[""Absolute no work life balance"",""Many of my coworkers have been let go, including some entire teams."",""Previous culture of “transparency” at the company has started to disappear, and it’s harder to understand the higher level decisions that are going on.""]","[""Great benefits. Everything I need."",""Great medical, dental and vision insurance coverage and offers 401k matching as well."",""Incredible perks, WFH and unlimited PTO. They take great care of their employees!""]"
4.1,Downstream Product Manager,"Mahwah, NJ",Health Care Products Manufacturing,10000+ Employees,Company - Public,Manufacturing,4.1,4,4.1,3.7,"[""Work life balance No micro management Exposure to grow and acquire new knowledge areas"",""great culture to recognize employee efforts"",""Benefits were great."",""The people are great"",""strong leadership""]","[""Awful work/life balance, unrealistic expectations, incompetent management"",""Bad leadership and poor communication between management and their employees.""]","[""Overall, benefits are pretty good.  "",""Great benefits and a great culture!"",""Very open to negotiate vacation and free time""]"
3.7,Financial Analyst II,"Rochester, NY",Colleges & Universities,10000+ Employees,Company - Private,Education,3.6,3.2,3.7,3.6,"[""Management was great, accommodating and presented opportunities for advancement and to learn new skills."",""The benefits are cheap but the deductible is high so...find out where the worth is."",""Pay is decent, training is fairly efficient."",""warm welcoming culture""]","[""Some management are not so cool."",""Pay and job mobility are bad."",""Benefits are not that wonderful (I have had WAY better in the past) and the PTO/ vacation time is sub par."",""cruddy training, watch and learn only works for some people, and learning under pressure while a patient waits is very stressful.""]","[""Good health and dental insurance "",""Good health and dental insurance "",""best-paid time off\nworst-not sure""]"
3.9,Program Manager - Institute for Implementation Science,"Houston, TX",Health Care Services & Hospitals,Unknown,Hospital,Healthcare,3.6,3.8,3.6,3.7,"[""The benefits along with the job flexibility were good."",""Great people (plus or minus the usual \""special\"" more challenging people)"",""Flexibility Decent Pay Healthcare Benefits Supportive Team (every team is different)""]","[""Pay is below market average and city's salary average."",""Toxic management, little to no training"",""This experience was very different from my past employment at UTHealth which I really enjoyed.""]","[""Dental Plan worst Part, A lot of Paid Time Off a Plus "",""Everything was great and affordable."",""It was great and cool""]"
4.4,Superintendent,"Los Angeles, CA",Construction,201 to 500 Employees,Company - Public,"Construction, Repair & Maintenance Services",4.1,3.7,4.6,3.7,"[""Great internship program.""]","[""long hours lack of work life ballance""]","[""401K match isn't 100% which makes it not as useful."",""Health insurance is expensive compared to similar companies"",""Great 401k package and time off benefits""]"
4.2,Entry Level Engineers/Scientists/Chemists/Technicians,"Raleigh, NC",Business Consulting,501 to 1000 Employees,Company - Private,Management & Consulting,3.6,3.6,4.4,3.9,"[""The people at ERG are amazing, they are nice and helpful and won't mind giving you pointers.""]",[],"[""Company 401k contribution doesn't need a match."",""10 of the 11 work holiday plus 2 total weeks per year. Not the best but low industry standard"",""Affordable health insurance with the option to add a domestic partner is a great perk! ""]"
4.1,Downstream Product Manager,"Mahwah, NJ",Health Care Products Manufacturing,10000+ Employees,Company - Public,Manufacturing,4.1,4,4.1,3.7,"[""Work life balance No micro management Exposure to grow and acquire new knowledge areas"",""great culture to recognize employee efforts"",""Benefits were great."",""The people are great"",""strong leadership""]","[""Awful work/life balance, unrealistic expectations, incompetent management"",""Bad leadership and poor communication between management and their employees.""]","[""Overall, benefits are pretty good.  "",""Great benefits and a great culture!"",""Very open to negotiate vacation and free time""]"
3.9,Software Development Engineer III - C# .NET,"Dallas, TX",Banking & Lending,5001 to 10000 Employees,Company - Public,Financial Services,3.5,3.9,3.9,3.9,"[""The culture is great for the most part."",""Excellent work/life balance"",""Good benefits."",""People are great and pay is good""]","[""Lacks culture within the company"",""Dynamic has recently changed with several layoffs and uncertainly of employment.""]","[""Greta perks and benefits throughout "",""\nIt was ok hopefully it change from 6 yrs ago "",""For an internship, good pay and WFH.""]"
3.4,"Software Engineer, Platform - Back-End","Redwood City, CA",Enterprise Software & Network Solutions,501 to 1000 Employees,Company - Public,Information Technology,3.6,4,3.1,2.7,"[""Smart people from top schools"",""Solid product with a great culture"",""Best Workplace Challenging work Competitive salary"",""Perks were incredible, work from home as much as you want and pretty much did my own hours."",""The job offer is good and the benefits are too.""]","[""C3 AI has a culture of hard work, which unfortunately for many (not all) leads to heavy burnout."",""no work from home, even after multiple people got covid in the office"",""Benefits need to be more family friendly to compete for more senior positions.""]","[""15 PTOs, 5 sick days annually"",""Good work benifits with free lunch and happy hour."",""Free lunches, employee stock purchase program""]"
3.9,Nyutdannet i 2025? Bli en del av landets sterkeste...,Oslo,Business Consulting,1001 to 5000 Employees,Private Practice / Firm,Management & Consulting,3.8,3.5,3.9,3.8,"[""good salary"",""Supportive management and good projects to work on."",""Good enviroment and nice colleagues"",""Good work life balance compared to other consultancies"",""Good culture and a relaxing environment""]","[""low salary and and and"",""Awful management, to avoid totally this company."",""Isolated from European colleagues and flat structure"",""Alot of dependency on you because of smaller size, and less work life balance"",""Terrible pay, bad culture, boring work, not very nice collegaues""]","[""Good benefits good pay and nice people"",""Benefits are good here, no complaints. "",""Benefits are terrific.  Long hours.  ""]"
3.7,"Senior Manager, Global Product Line Management","Fountain Valley, CA",Transportation Equipment Manufacturing,1001 to 5000 Employees,Company - Public,Manufacturing,3.8,4,3.6,2.9,"[""I work with fantastic people."",""Amazing culture, super nice and supportive team, great pay, great benefits, tons of perks, flexible WFH schedule."",""Nice cafeteria, clean environment, and good teammates and management.""]","[""Not much benefit for contractors"",""Not much learning opportunities and mixed working culture.""]","[""Good benefit with health insurance"",""From onboarding to exit interviews, HR has a logical process in place to educate and inform of important details"",""Company offers allowance to lease Hyundai's vehicle. \nAllowance has different amount by position hierarchy.\nVery enjoyable and possible to change car every year. ""]"
3.5,"Product Manager, International","London, England",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.1,3.9,3.6,3.6,"[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]","[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
2.9,Sr. Supply Chain Engineering Manager,"Eagan, MN",Shipping & Trucking,1001 to 5000 Employees,Company - Private,Transportation & Logistics,2.4,2.9,3,2.9,"[""Good people that care about each other.""]","[""not much room for advancement""]","[""Good match for 401k, options for health coverage"",""You can pick and choose what you are looking for from day one"",""Decent plan through TFI Intl""]"
4,"Sales Engineer (Solutions Architect), Northeast",United States,Enterprise Software & Network Solutions,201 to 500 Employees,Company - Private,Information Technology,3.8,4.1,3.9,4.2,"[""Great people to work with... people that work here are all focused on the next phase of the company."",""Culture autonomy Learning Collaboration Technology"",""Good leadership, founders are from NSA."",""workers, decent pay""]","[""Limited growth opportunity to field""]","[""Fair and low cost, but premium benefits."",""A lot of time off and holidays. Never had issues with any benefits. 401k experience could have been better. "",""company perks and health insurance ""]"
4.2,Product Manager,"London, England",Health Care Services & Hospitals,1001 to 5000 Employees,Company - Public,Healthcare,3.8,4,3.7,4,"[""Great people, willing to take on new ways of thinking to improve."",""The office is nice in mid boston"",""Company has good benefits."",""Good Pay""]","[""The culture is not good""]","[""Great severance after many years of faithful service.\nInteresting changes coming to Haemo, stay tuned!"",""It's comparable to others out there."",""Average benefit for the company size""]"
4,"Sales Engineer (Solutions Architect), Northeast",United States,Enterprise Software & Network Solutions,201 to 500 Employees,Company - Private,Information Technology,3.8,4.1,3.9,4.2,"[""Great people to work with... people that work here are all focused on the next phase of the company."",""Culture autonomy Learning Collaboration Technology"",""Good leadership, founders are from NSA."",""workers, decent pay""]","[""Limited growth opportunity to field""]","[""Fair and low cost, but premium benefits."",""A lot of time off and holidays. Never had issues with any benefits. 401k experience could have been better. "",""company perks and health insurance ""]"
3.8,Institutional Equity Research Sales Analyst / Associate,"New York, NY",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.8,3.8,3.5,3.1,"[""Great culture and a lot of deal flow"",""Great people to work with, and job offers lots of autonomy"",""Good pay and supportive environment"",""Great Senior Management""]","[""Bad culture and terrible hours."",""The people weren't very smart....I would work elsewhere if you're considering IB"",""Long hours and weekend work"",""paid and not good pay increases from year to year low diversity""]","[""great employees very helpful and sweet. manager is great."",""401k, Cigna insurance, 20 PTO for junior/new joiner."",""pretty good deal and well structured plans""]"
3.8,Software Developer,"Redwood City, CA",Enterprise Software & Network Solutions,10000+ Employees,Company - Public,Information Technology,3.6,3.4,3.7,4,"[""flexible and good work life balance"",""Good Salary and chill environment"",""Good work culture and policies"",""Good benefits and leave policy"",""good management and team.""]","[""You get too much work life balance and no learning"",""Salary is low and performance is not rewarded"",""bad work culture"",""Less benefits are received."",""bad management forcing return to office""]","[""good perks, benefits in line with market, stock purchasing"",""Good average food nice !"",""Employees pay low cost for health benefits. ""]"
3.8,Institutional Equity Research Sales Analyst / Associate,"New York, NY",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.8,3.8,3.5,3.1,"[""Great culture and a lot of deal flow"",""Great people to work with, and job offers lots of autonomy"",""Good pay and supportive environment"",""Great Senior Management""]","[""Bad culture and terrible hours."",""The people weren't very smart....I would work elsewhere if you're considering IB"",""Long hours and weekend work"",""paid and not good pay increases from year to year low diversity""]","[""great employees very helpful and sweet. manager is great."",""401k, Cigna insurance, 20 PTO for junior/new joiner."",""pretty good deal and well structured plans""]"
4.1,Downstream Marketing Manager,"Leesburg, VA",Health Care Products Manufacturing,10000+ Employees,Company - Public,Manufacturing,4.1,4,4.1,3.7,"[""Company had a great culture"",""Great people to work with, high achieving people"",""Good pay"",""Great experience and a lot of opportunity"",""Beautiful office environment, work life balance""]","[""It’s a very cliquish culture masked under the term “relationship oriented”"",""People always say they love working there because of the people"",""Low pay compared to other biotech.""]","[""Overall, benefits are pretty good.  "",""Great benefits and a great culture!"",""Very open to negotiate vacation and free time""]"
3.7,"Analyst, Citywide Data, RPSG",Manhattan,State & Regional Agencies,10000+ Employees,Government,Government & Public Administration,3.6,3.6,3.3,3.4,"[""Flexible hours, company vehicle, field work"",""Wonderful young people""]","[""Demanding, lots of bureaucracy, low morale"",""not incentives or bonus"",""Not enough resources or support or training.""]","[""403B has  a 7% return"",""The bad thing is sub-substitute does not receive pay during vacation. It is terrible 🙁"",""There was good communication all around.""]"
3.4,"Software Engineer, Platform - Full-Stack","Redwood City, CA",Enterprise Software & Network Solutions,501 to 1000 Employees,Company - Public,Information Technology,3.6,4,3.1,2.7,"[""Smart people from top schools"",""Solid product with a great culture"",""Best Workplace Challenging work Competitive salary"",""Perks were incredible, work from home as much as you want and pretty much did my own hours."",""The job offer is good and the benefits are too.""]","[""C3 AI has a culture of hard work, which unfortunately for many (not all) leads to heavy burnout."",""no work from home, even after multiple people got covid in the office"",""Benefits need to be more family friendly to compete for more senior positions.""]","[""15 PTOs, 5 sick days annually"",""Good work benifits with free lunch and happy hour."",""Free lunches, employee stock purchase program""]"
3.2,"TikTok Shop Strategy Product Manager Graduate Program, London, 2025","London, England",Internet & Web Services,10000+ Employees,Company - Private,Information Technology,3,3.5,2.9,2.7,"[""Good work life balance."",""Benefit is good"",""i enjoyed the culture of my team people in my team are smart and respectable"",""Good salary"",""Great people to work with""]","[""no work life balance sometimes"",""long work hours and benefits are all right but could be better;"",""Chinese culture, 966, speak chinese 24/7"",""TikTok as the very few APPs that generates revenue, in current economic downturn, ad revenue will shrink, and when a Chinese company cuts its headcount, it can be brutal without anything like Meta gives employees 16 weeks salary, refer to what happened in tech sector in China."",""chinese people to fit in.""]","[""100 phone bill reimbursement monthly "",""Standard package. Good time off policy."",""Neutral on the benefits here""]"
3.4,Business Analyst,"New York, NY",Broadcast Media,10000+ Employees,Company - Public,Media & Communication,3,2.7,3.4,3.5,"[""great people"",""Great opportunity to learn and grow""]","[""Low Pay and kind of boring."",""Income management, meaning they don't want you to make to much money because they think it will kill your motivation to hustle."",""Work environment is fast""]","[""Great perks.\nCould have improvements "",""Health coverage is expensive. I was better off with Covered California."",""reasonable pricing on insurance options""]"
3.5,"Product Manager, International","London, England",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.1,3.9,3.6,3.6,"[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]","[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
3.9,Salesforce Commerce Cloud Developer,"San Clemente, CA",Consumer Product Manufacturing,1001 to 5000 Employees,Company - Private,Manufacturing,3.6,3.1,4.1,4.2,[],"[""Limited opportunities for promotion and weird office vibe."",""My time at Taylormade was good until I realised that the entire management was more immature unprofessional than a group of secondary school girls."",""Coordinators will continuously lie to higher management to accomplish this and because they don’t bother to check facts, work statistics or time sheets, management will take the coordinators word for everything without once speaking to the employees in question."",""Office isn't Public Transit Friendly""]","[""The company had good benefits. "",""Health insurance is very good"",""401k and vacation for my benefits""]"
3.7,Operations Data Analyst (VP),United States,Investment & Asset Management,10000+ Employees,Company - Public,Financial Services,3.7,3.7,3.6,3.5,"[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
