reviews_by_same_job_cons,reviews_by_same_job_pros,company_benefits_employer_summary,employee_benefit_reviews
"[""The culture is not good""]","[""Great people, willing to take on new ways of thinking to improve."",""The office is nice in mid boston"",""Company has good benefits."",""Good Pay""]",,"[""Great severance after many years of faithful service.\nInteresting changes coming to Haemo, stay tuned!"",""It's comparable to others out there."",""Average benefit for the company size""]"
"[""Poor management and Low Salary""]","[""Good people was once a great culture""]",,"[""It was affordable for me and my family!\n"",""Work-life balance with the hybrid schedule  "",""Best: unlimited PTO policy\nWorst: Recently switched insurance carriers and premiums are high""]"
"[""There are some people in the team who make work very unpleasant."",""Most of the software engineers left due to bad management and were replaced by people whom are either well connected or liked by their manager, Even when they don't have the proper education or experience."",""less benefit, work load lot"",""Everything good about this facility went overseas""]","[""Great workplace and people."",""Awesome management system."",""Good benefits"",""Average salary.""]","At Bruker, we believe that health matters. Therefore, our benefit package is designed to offer flexibility and stability in the overall health, financial, and work/life balance of our employees and their families.

Health Matters – Bruker’s health programs start on day one, including your choice of 3 medical plan options, a comprehensive dental plan, flexible vision coverage and access to Flexible Spending Accounts.
Wellness Matters – Bruker promotes employee engagement and education with wellness challenges, hosting wellness webinars, holding an annual benefits fair, and delivering quarterly newsletters.
Financial Wellness Matters – Bruker offers a 401(k) Retirement Plan with company matching, company provided life and disability benefits to protect employees and their families, access to ID Theft Protection and many additional voluntary benefits to create peace of mind.
Work/Life Balance Matters – Bruker offers a generous time off program including sick time, vacation, 11 holidays and a year-end shut down.

","[""401k, vacation, pto, insurance, leave\n"",""great benefits. great options for medical and other expenses. "",""Benefits are very outdated. Need to be revised to remain competitive in the market.""]"
[],"[""The company culture is so positive and everyone brings an enthusiasm to solve problems with a customer focus.""]","
Competitive compensation
Stock options
Unlimited PTO &amp; 10 Paid Holidays
Retirement benefits (401K with traditional and Roth options)
Comprehensive health benefits (including medical, dental, and vision)
Health Savings Account (with employer contributions)
Flexible Spending Account and Dependent Care Spending Account
Life insurance (employer paid)
Paid maternity leave
Commuter benefits
Growth opportunities working with our leadership team as we expand
Fully stocked kitchen
Open office with customizable workspace (Mac computers, adjustable standing desk and extra monitors)
Great location in the heart of SoHo
","[""Great benefits for a startup! 401K match is awesome (if you contribute 5%, they match 4%). Also appreciate they offer HSA. \n"",""Its good -- unlimited PTO"",""401 K, Health Insurance is expensive!""]"
"[""Weird supervisor, very unprofessional and annoying"",""long hours but the mission is worthwhile""]","[""Everyone is very supportive and has good communication""]",,"[""They automatically contribute 10 percent of your salary to 403b. Health insurance is affordable and covers a lot."",""There were no benefits for part timers"",""Generous PTO and 10% employer match to retirement.""]"
[],"[""The people at ERG are amazing, they are nice and helpful and won't mind giving you pointers.""]",,"[""Company 401k contribution doesn't need a match."",""10 of the 11 work holiday plus 2 total weeks per year. Not the best but low industry standard"",""Affordable health insurance with the option to add a domestic partner is a great perk! ""]"
"[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]",,"[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
"[""No work life balance in India"",""Some managers Will do Some partiality and contracts employees won’t get much benefit"",""Culture depends on team and management."",""Good people"",""Less exposure to the work environment and less pay""]","[""Work life balance is good"",""Good benefits overall and nice projects"",""Awesome organization and good culture"",""Good people to work with."",""life balance with good pay and benefits""]","We care about youWe believe a stronger signal to employees is providing benefits that support signature life moments—enhanced leave and “welcome back” initiatives when an employee returns from a period of absence, bereavement support, sabbatical, educational assistance, and adoption and fertility benefits. Here's a snapshot of what we offer:

Generous time off and enhanced leave for moments that matter
Enjoy a 4-week sabbatical after five years of employment
Purchase Adobe stock at 15% below fair market value by enrolling in ESPP
Feed your brain with educational reimbursement of $10,000 USD a year

For a full breakdown, check out http://benefits.adobe.com/ for current employee benefits in the US.","[""Sabbatical holiday for 1 month every five years"",""The benefits of Adobe are great including ESPP."",""Culture is very good! Would reccomend""]"
"[""Leads in consistent, no growth, repetitive trainings"",""upper management seemed pretty divorced from the tech side"",""No culture , no real underwriting , weird product , had to use my personal equipment to work and were very Stingy with providing equipment."",""Pray you get assigned to a good team with a competent team."",""Management doesn't listen, concerns and red flags are brushed away just for the sake of funding.""]","[""good training"",""Culture, Location, Fun, People, Job"",""Supportive team, standard underwriting role"",""Training, friendly management , hybrid schedule""]","Benefits of Working at Fora Financial:

Competitive Base Salary
Health Insurance
Dental Insurance
Vision Insurance
Life and AD&amp;D Insurance
401K Plan   Matching
Flexible Spend &amp; Commuter Benefit Accounts
Gym Reimbursement
Generous Time Off Plan

A Culture for the Employee:

Work/Life Balance
Hybrid Work-Model
Comprehensive Product &amp; Industry Training
Opportunity for Advancement
Diverse Culture
Small Team Sizes
Promote From Within
Open Communication
Relaxed Dress Code
Daily Breakfasts
Game Room
Weekly Catered Lunches
","[""Best- Good benefits \nWorst- Low matching 401k "",""Pretty decent healthcare and 401K match"",""Full suite of benefits for all staff members""]"
"[""Leads in consistent, no growth, repetitive trainings"",""upper management seemed pretty divorced from the tech side"",""No culture , no real underwriting , weird product , had to use my personal equipment to work and were very Stingy with providing equipment."",""Pray you get assigned to a good team with a competent team."",""Management doesn't listen, concerns and red flags are brushed away just for the sake of funding.""]","[""good training"",""Culture, Location, Fun, People, Job"",""Supportive team, standard underwriting role"",""Training, friendly management , hybrid schedule""]","Benefits of Working at Fora Financial:

Competitive Base Salary
Health Insurance
Dental Insurance
Vision Insurance
Life and AD&amp;D Insurance
401K Plan   Matching
Flexible Spend &amp; Commuter Benefit Accounts
Gym Reimbursement
Generous Time Off Plan

A Culture for the Employee:

Work/Life Balance
Hybrid Work-Model
Comprehensive Product &amp; Industry Training
Opportunity for Advancement
Diverse Culture
Small Team Sizes
Promote From Within
Open Communication
Relaxed Dress Code
Daily Breakfasts
Game Room
Weekly Catered Lunches
","[""Best- Good benefits \nWorst- Low matching 401k "",""Pretty decent healthcare and 401K match"",""Full suite of benefits for all staff members""]"
"[""Your salary will not budge."",""They treat their employees like trash and make people jump through hurdles only to be second class citizens wherever they’re placed.""]","[""Flexible time, timely salaries, good team"",""Better career opportunities""]",,"[""Vacations PTO and home office"",""401K, Paid time off, timely pay"",""There are no benefits with this company""]"
[],"[""Good work life balance with staff, good pay and holidays"",""The research and front office team are very competent.""]",,"[""great employees very helpful and sweet. manager is great."",""401k, Cigna insurance, 20 PTO for junior/new joiner."",""pretty good deal and well structured plans""]"
"[""not much room for advancement""]","[""Good people that care about each other.""]",,"[""Good match for 401k, options for health coverage"",""You can pick and choose what you are looking for from day one"",""Decent plan through TFI Intl""]"
"[""not much room for advancement""]","[""Good people that care about each other.""]",,"[""Good match for 401k, options for health coverage"",""You can pick and choose what you are looking for from day one"",""Decent plan through TFI Intl""]"
"[""Low Pay and kind of boring."",""Income management, meaning they don't want you to make to much money because they think it will kill your motivation to hustle."",""Work environment is fast""]","[""great people"",""Great opportunity to learn and grow""]","A productive and innovative workplace starts with the well-being of our employees. At iHeartMedia, the health and welfare of our team is of the utmost importance. We offer an extensive range of benefits that allow our employees to bring their best selves to work each day and we strive to continue to make iHeartMedia a great place to work:

Health &amp; Wellness: Our comprehensive benefits package includes medical, dental and vision coverage, as well as family life and accident insurance.
Time Away: Our time-off policy offers 15 paid holidays, half-days before key holidays, plus vacation.
Financial: Employees can participate in a 401(k) program.
Our benefits programs also includes a variety of flexible spending accounts.
Parental Leave: Your family is part of the iHeartMedia family. We support employees throughout their lives, including the growth of their families with our Parental Leave policy, as well as additional short-term voluntary disability.
Other benefits: We offer voluntary benefits at discounted rates, including pet, legal and auto/home insurance, as well as identity theft.
","[""Great perks.\nCould have improvements "",""Health coverage is expensive. I was better off with Covered California."",""reasonable pricing on insurance options""]"
"[""Limited amount of skills to be used."",""Low communication environment that impedes client experience"",""Top heavy leadership.""]","[""The benefits are a big plus here."",""Competitive Pay: best pay for new graduates and seasoned providers in the RDU area.""]",,"[""Awesome benefits! Company covers the full cost of health insurance for all employees plus two dependents."",""The benefits overall were good. "",""Company has competitive benefits for employees!""]"
"[""Some management are not so cool."",""Pay and job mobility are bad."",""Benefits are not that wonderful (I have had WAY better in the past) and the PTO/ vacation time is sub par."",""cruddy training, watch and learn only works for some people, and learning under pressure while a patient waits is very stressful.""]","[""Management was great, accommodating and presented opportunities for advancement and to learn new skills."",""The benefits are cheap but the deductible is high so...find out where the worth is."",""Pay is decent, training is fairly efficient."",""warm welcoming culture""]",,"[""Good health and dental insurance "",""Good health and dental insurance "",""best-paid time off\nworst-not sure""]"
"[""The scientists and associates were overworked and visibly stressed."",""The bonuses received only covered a fraction of the overtime/weekend work I was required to do.""]","[""Great people to work with"",""They offered generous paternal and maternal leave when I worked there, but I believe it has been limited since then."",""Uncapped pto, great management, minimal stress""]",,"[""Pairwise has a pretty flexible work schedule"",""Reasonable rates for benefits \nNo 401k match"",""No 401K match. Not unlimited FTO as reported in other reviews. It is an odd hybrid system. I guess they are saving resources by not tracking days and covering PTO. It is made clear that taking over 2 weeks off is frowned upon: need leadership approval. ""]"
"[""Pay is low."",""Benefits and pay fall way short of other tech companies."",""Culture is culty, cliqué"",""Doesn't seem like they have a good work life balance."",""Job security is nice, but some people should not work here.""]","[""Good pay."",""Good benefits"",""Great culture and sense of meaningful work."",""Good Benefits; Good work/ life balance; Good perception in marketplace"",""Great benefits, great people, amazing customers""]","Working at Esri is more than a job—it’s where you pursue your passion to do work that makes the world a better place. Our goal is to help you do what you do best, at work and at home. From comprehensive health coverage, profit sharing and 401(k) programs, to lifestyle perks, our benefits package is as rewarding as your career. Take a look at the different ways Esri supports you.","[""Excellent health benefits. Excellent travel benefits."",""Generous benefits especially fully paid healthcare for employee and dependents."",""Annual bonuses and match to 401k""]"
"[""Low salary compared to private sector""]","["";Great Benefits and good people"",""Good benefits and union job and student loan forgiveness"",""good management and flexible hours no overtime""]",,"[""Great benefits. Dental and Vision insurance could be better "",""bureaucracy and wait for a long time to get the benefit "",""The pension is great but it's really only worth it if you work for 20+ years.""]"
"[""Leads in consistent, no growth, repetitive trainings"",""upper management seemed pretty divorced from the tech side"",""No culture , no real underwriting , weird product , had to use my personal equipment to work and were very Stingy with providing equipment."",""Pray you get assigned to a good team with a competent team."",""Management doesn't listen, concerns and red flags are brushed away just for the sake of funding.""]","[""good training"",""Culture, Location, Fun, People, Job"",""Supportive team, standard underwriting role"",""Training, friendly management , hybrid schedule""]","Benefits of Working at Fora Financial:

Competitive Base Salary
Health Insurance
Dental Insurance
Vision Insurance
Life and AD&amp;D Insurance
401K Plan   Matching
Flexible Spend &amp; Commuter Benefit Accounts
Gym Reimbursement
Generous Time Off Plan

A Culture for the Employee:

Work/Life Balance
Hybrid Work-Model
Comprehensive Product &amp; Industry Training
Opportunity for Advancement
Diverse Culture
Small Team Sizes
Promote From Within
Open Communication
Relaxed Dress Code
Daily Breakfasts
Game Room
Weekly Catered Lunches
","[""Best- Good benefits \nWorst- Low matching 401k "",""Pretty decent healthcare and 401K match"",""Full suite of benefits for all staff members""]"
"[""Management is angry all the time.""]","[""People I worked with were great, they ran the machines into the ground with no preventative maintenance and shut the machines down, thier efficiency is more important to them then machine health"",""LOVE IT ALL good money"",""Innovative environment, family atmosphere, positive growth potential."",""Not a lot of over time and will gain great experience working with all kinds of injection mold machines.""]",,"[""Good Benefits Health Insurance, Vision, Dental, as well as multiple other options available"",""Good benefits and experience training"",""Health insurance was expensive with high deductibles!""]"
"[""Some of the worst corporate culture."",""No cons everyone is great""]","[""Amazing culture, collaborative peers, corporate discount"",""Excellent work life balance very friendly environment"",""Great work life balance and benefits"",""Great compensation and benefits like having the last Friday of every month off""]","Our portfolio of benefits, programs and services is designed to make sure our employees are healthy and comfortable, while encouraging creativity inside and outside of the office. Here are a few of the highlights of working at Levi Strauss &amp; Co.:
EMPLOYEE BENEFITS

HEALTH AND FITNESS: LS&amp;Co. offers competitive benefit options and a flexible plan design. Employees can handpick medical, dental, vision and life insurance plans that are right for them.
APPAREL: Corporate employees receive a discount at all company owned- and-operated stores and e-commerce sites. They may also purchase Levi’s&reg;, Dockers&reg; and Signature by Levi Strauss &amp; Co.™ apparel at a significant discount at periodic sample sales.
TECHNOLOGY AND BUSINESS SERVICES: Employees are eligible for discounts with Apple, HP, Microsoft, Staples and AT&amp;T Wireless.

Please visit our External Careers Site for more information http://www.levistrauss.com/careers/#benefits ","[""The flexibility of the job, 401k, and time management"",""Levi's lives its values and offers generous benefits. They consistently offer financial classes, donation matching, women in leadership spotlight and 401k matching at a higher percent than most companies. They truly value their employees with ERG etc..."",""Flexible health insurance options to choose""]"
"[""Senior Leadership is very slow to adjust to market trends.""]","[""Benefits (product and agility allowances, 401K, 4 weeks time off)"",""Great industry and good benefits"",""Great career growth opportunity, genuinely good people, flexible environment"",""People are great, good work life balance, frequent chance to connect with people in the company""]","Our programs are tailored to support the needs of our employees and their families. We recognize the value of a diverse workforce and therefore include coverage for domestic partners and the children of domestic partners for our eligible employees.
The health and wellbeing of our employees is very important to us. We foster a culture of health through health fairs, and programs and activities that support healthy nutrition and exercise.
Product Allowance
We encourage our employees to act as ambassadors of our brands. To support this effort, eligible employees over the age of 21 have a product allowance to promote our brands with friends and family.
Additional Perks:

Flexible Work Environment
Casual dress code
Summer Fridays
Comprehensive health &amp; wellness programs
Fertility &amp; childcare benefits
Generous paid time off (including HQ being closed Christmas through New Years)
Yearly agility allowance
Tuition scholarships &amp; reimbursement programs
Weekly themed happy hours
Access to relevant and modern learning opportunities
Community outreach and charitable gifting
Company car (or allowance) for eligible roles

Please note that this is only a brief overview of Pernod Ricard USA’s benefit offerings and does not supersede the official plan document and contracts.
Visit our benefits page for more information!
PRUSA Benefits
Canada Benefits","[""good package including health insurance"",""Industry standard but diminishing levels for newer employees. Complicated annual review."",""They provide all the basic necessities and can improve on Care package.""]"
"[""CEO is not farsighted."",""Option is a joke when the company cannot move forward and people left like crazy"",""Bad diversity""]","[""CEO is mission driven"",""Lots of flexibility and freedom in work.""]",,"[""The benefits at NewsBreak are very good.  I have a family of four, and the cost for health, vision, dental is very fair."",""Top-tier 401(K) plan with company matching"",""Company is continuously trying to improve on benefits package.""]"
"[""It’s a very cliquish culture masked under the term “relationship oriented”"",""People always say they love working there because of the people"",""Low pay compared to other biotech.""]","[""Company had a great culture"",""Great people to work with, high achieving people"",""Good pay"",""Great experience and a lot of opportunity"",""Beautiful office environment, work life balance""]","When the unexpected occursâa serious illness, a long absence from work, even deathâwe count on Stryker-sponsored healthcare and welfare benefits for financial protection. In addition, Stryker Corporation sponsors the Stryker Corporation 401(k) Savings and Retirement Plan so that you and other employees of Stryker and its participating subsidiaries (all referred to in this Summary as the ""Company"") may save for retirement on a ""before-tax"" basis. The benefits provided under the 401(k) Plan are in addition to Social Security. The information presented in the Benefits Summary makes it easy to understand your benefits. Consider this handbook, which is available in print and online at http://www.totalrewards.stryker.com/spd, your first resource whenever you have a question about what is covered, how to file claims or your rights as a plan participant. The benefits described are summaries of the official plan documents and contracts, which govern the plans. They are written in plain language to help you understand how the plans work. ","[""Overall, benefits are pretty good.  "",""Great benefits and a great culture!"",""Very open to negotiate vacation and free time""]"
"[""Low pay and more targets to meet"",""no benefits or complain support for seasonal or contract employees"",""Long hours and can be difficult working all night if you’re not used to it."",""Management was poor and the responsibility to pay ratio did not seem adequate"",""Bad work culture and hectic schedules""]","[""Pay is good and fair"",""Good benefits and flexibility !"",""Flexible hours and great with students."",""management and pay were great"",""The work culture is good and I never felt that I was new in the company""]",,"[""Full benefits and scholarship options for career advancement are nice. "",""Benefits are OKAY... Considering they are one of 5 largest companies in the world, they could be a lot better when it comes to monthly premiums, 401k matching, and deductible amounts. If you work as a driver or warehouse worker for more than a year, you can be almost certain that you will be using your medical insurance. No sick days,  all of your PTO accrues by June for the whole year, and its very hard save it for when you really need it during 6-10 weeks of peak season working mandatory 60 hour weeks. "",""Car rentals, hotels, and flights are extremely cheap when searching from internal Amazon benefit site""]"
"[""on management can be difficult.""]","[""Moderate career growth"",""Photon has a good staff that is professional, who maintain standards of a decent office and those who maintain decorum."",""Good take home salary as they don't cut much tds""]",,"[""Nothing is bad here. Everyone ia good "",""Unscrupulous dealings there. I did not feel or observe that the company had the best interest of its employees at heart."",""Medical Insurance is great for Employees. ""]"
"[""Weird supervisor, very unprofessional and annoying"",""long hours but the mission is worthwhile""]","[""Everyone is very supportive and has good communication""]",,"[""They automatically contribute 10 percent of your salary to 403b. Health insurance is affordable and covers a lot."",""There were no benefits for part timers"",""Generous PTO and 10% employer match to retirement.""]"
"[""No work life balance (sometimes)"",""Low salaries compared to market"",""Low Salary No additional benefits"",""The culture is extremely toxic and full of people who smile to your face but will backstab you."",""Great people to work with""]","[""Good work life balance and learn"",""1. good salary."",""Good benefits Opportunity to grow"",""Good and challenging work with good culture"",""Great people on most of my smaller teams I have worked wirh""]","Being at the forefront of innovation isn’t the only perk we offer at HPE. We strive to provide our team members and their loved ones with a comprehensive suite of well-being benefits that support the whole you—your physical health, your mental, emotional and financial well-being, and social connections to your community.
We invest in your personal and professional development. We have specific programs catered to helping you reach any career goals you have — whether you want to become a knowledge expert in your field or apply your skills to another division.
Learn more around our global benefits here: https://cdn.phenompeople.com/CareerConnectResources/HPE1US/videos/hpe_-_wellness_2021_external_0827.80001080p-1645730890964.mp4","[""Great benefits for starting off."",""The maternity leave is very generous in comparison to other tech company."",""Unlimited PTO is such a great benefit!""]"
"[""No training in actual job whatsoever."",""Low pay, Lack of raises, micromanagement, no real path for growth."",""Incompetent management, communication and leadership""]","[""Very comprehensive training program which includes self"",""It’s a great company to work for good benefits, competitive pay and pays for a degree 100% no reimbursements."",""Chance to earn the money you want if you are willing to work hard for it Managers were good but, that changed with new SVP"",""Harish Nair is the role model, he demonstrates the true leadership."",""Good People""]","Clean Harbors delivers a Total Compensation package with:

Competitive market salaries
Pay increases based on gained skills acquired through training and experience. These increases are offered through an industry leading competency based progression and pay program.
Comprehensive health, dental and retirement programs offered for you and your family members.
Paid Parental Leave.&nbsp;
Employee Stock Purchase Program.&nbsp;
Recognition and incentives based on your contribution to the team.
Support for developing and learning new skills as well as sharing knowledge.
Policies, programs and work schedules that fully support your current lifestyle.
Employee discounts and purchase programs through our different vendor partners.
Employee surveys to obtain input on improvements for your workplace.
Confidential Employee Assistance Program offering access to the right people when you and your family need them the most.
Unlimited driver referral bonuses.
Tuition reimbursement, including a partnership with Purdue Global where employees can pursue undergradute degrees at no cost, to support your continuous development and growth.
","[""It's a good plan and affordable "",""The health plan options require you to pay out of pocket until your deductible is met "",""The Benefits are good over all""]"
"[""Low pay and political environment"",""compensation and benefits, not too many cons"",""Not enough promotion of people that deserve it.""]","[""State Employment Good Benefits Hybrid (Work from home some days in the week)"",""Good management and work/life balance"",""I really enjoy the people I work with."",""There are good opportunities to network and build rapport with other people around campus, but you also have to be open to creating those opportunities yourself.""]",,"[""Very good teammates, competitive paycheck"",""As part time employee I don’t get one"",""Great benefits and great experience""]"
"[""Your pay isn't much higher than those you mange."",""Poor work life balance, unrecognized contributions to team"",""Old building with need for renovation""]","[""Good salary, pay, and benefits"",""good pay, looks good on resume"",""Good People"",""Great work life balance and experience.""]",,"[""Excellent Benefits provided for full family medical, prescription, dental and eye care."",""Great 401K Match and company stock options"",""no pension plan available anymore""]"
"[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]",,"[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
"[""Leads in consistent, no growth, repetitive trainings"",""upper management seemed pretty divorced from the tech side"",""No culture , no real underwriting , weird product , had to use my personal equipment to work and were very Stingy with providing equipment."",""Pray you get assigned to a good team with a competent team."",""Management doesn't listen, concerns and red flags are brushed away just for the sake of funding.""]","[""good training"",""Culture, Location, Fun, People, Job"",""Supportive team, standard underwriting role"",""Training, friendly management , hybrid schedule""]","Benefits of Working at Fora Financial:

Competitive Base Salary
Health Insurance
Dental Insurance
Vision Insurance
Life and AD&amp;D Insurance
401K Plan   Matching
Flexible Spend &amp; Commuter Benefit Accounts
Gym Reimbursement
Generous Time Off Plan

A Culture for the Employee:

Work/Life Balance
Hybrid Work-Model
Comprehensive Product &amp; Industry Training
Opportunity for Advancement
Diverse Culture
Small Team Sizes
Promote From Within
Open Communication
Relaxed Dress Code
Daily Breakfasts
Game Room
Weekly Catered Lunches
","[""Best- Good benefits \nWorst- Low matching 401k "",""Pretty decent healthcare and 401K match"",""Full suite of benefits for all staff members""]"
"[""Your pay isn't much higher than those you mange."",""Poor work life balance, unrecognized contributions to team"",""Old building with need for renovation""]","[""Good salary, pay, and benefits"",""good pay, looks good on resume"",""Good People"",""Great work life balance and experience.""]",,"[""Excellent Benefits provided for full family medical, prescription, dental and eye care."",""Great 401K Match and company stock options"",""no pension plan available anymore""]"
"[""Product Leadership has no boundaries or respect for typical work hours and will message employees at all hours of the day."",""It’s impossible to do a job well and meet expectations when there is so much change and micromanagement."",""Since then, everyone that could have provided mentorship to those around them were either fired or left because they were not being treated as kind as newer team members.""]","[""Within Product, leadership is making a material investment in teams and people which is really refreshing!"",""The people here have been so welcoming.""]",,"[""Benefits are up to industry standards"",""Average benefits package in line with the industry. Changed to unlimited PTO with very little notice which didn't allow all accrued time to be utilized."",""Great 401k match and competitive benefit premiums""]"
"[""The culture is not good""]","[""Great people, willing to take on new ways of thinking to improve."",""The office is nice in mid boston"",""Company has good benefits."",""Good Pay""]",,"[""Great severance after many years of faithful service.\nInteresting changes coming to Haemo, stay tuned!"",""It's comparable to others out there."",""Average benefit for the company size""]"
"[""CEO is not farsighted."",""Option is a joke when the company cannot move forward and people left like crazy"",""Bad diversity""]","[""CEO is mission driven"",""Lots of flexibility and freedom in work.""]",,"[""The benefits at NewsBreak are very good.  I have a family of four, and the cost for health, vision, dental is very fair."",""Top-tier 401(K) plan with company matching"",""Company is continuously trying to improve on benefits package.""]"
"[""Weird supervisor, very unprofessional and annoying"",""long hours but the mission is worthwhile""]","[""Everyone is very supportive and has good communication""]",,"[""They automatically contribute 10 percent of your salary to 403b. Health insurance is affordable and covers a lot."",""There were no benefits for part timers"",""Generous PTO and 10% employer match to retirement.""]"
"[""Senior Leadership is very slow to adjust to market trends.""]","[""Benefits (product and agility allowances, 401K, 4 weeks time off)"",""Great industry and good benefits"",""Great career growth opportunity, genuinely good people, flexible environment"",""People are great, good work life balance, frequent chance to connect with people in the company""]","Our programs are tailored to support the needs of our employees and their families. We recognize the value of a diverse workforce and therefore include coverage for domestic partners and the children of domestic partners for our eligible employees.
The health and wellbeing of our employees is very important to us. We foster a culture of health through health fairs, and programs and activities that support healthy nutrition and exercise.
Product Allowance
We encourage our employees to act as ambassadors of our brands. To support this effort, eligible employees over the age of 21 have a product allowance to promote our brands with friends and family.
Additional Perks:

Flexible Work Environment
Casual dress code
Summer Fridays
Comprehensive health &amp; wellness programs
Fertility &amp; childcare benefits
Generous paid time off (including HQ being closed Christmas through New Years)
Yearly agility allowance
Tuition scholarships &amp; reimbursement programs
Weekly themed happy hours
Access to relevant and modern learning opportunities
Community outreach and charitable gifting
Company car (or allowance) for eligible roles

Please note that this is only a brief overview of Pernod Ricard USA’s benefit offerings and does not supersede the official plan document and contracts.
Visit our benefits page for more information!
PRUSA Benefits
Canada Benefits","[""good package including health insurance"",""Industry standard but diminishing levels for newer employees. Complicated annual review."",""They provide all the basic necessities and can improve on Care package.""]"
"[""No work life balance in India"",""Some managers Will do Some partiality and contracts employees won’t get much benefit"",""Culture depends on team and management."",""Good people"",""Less exposure to the work environment and less pay""]","[""Work life balance is good"",""Good benefits overall and nice projects"",""Awesome organization and good culture"",""Good people to work with."",""life balance with good pay and benefits""]","We care about youWe believe a stronger signal to employees is providing benefits that support signature life moments—enhanced leave and “welcome back” initiatives when an employee returns from a period of absence, bereavement support, sabbatical, educational assistance, and adoption and fertility benefits. Here's a snapshot of what we offer:

Generous time off and enhanced leave for moments that matter
Enjoy a 4-week sabbatical after five years of employment
Purchase Adobe stock at 15% below fair market value by enrolling in ESPP
Feed your brain with educational reimbursement of $10,000 USD a year

For a full breakdown, check out http://benefits.adobe.com/ for current employee benefits in the US.","[""Sabbatical holiday for 1 month every five years"",""The benefits of Adobe are great including ESPP."",""Culture is very good! Would reccomend""]"
"[""1. work life balance is moderate"",""Low pay and increments due to which a lot of people leave the company"",""not based enough no benefits to my liking"",""Micromanaging and bad culture keep people down."",""Some people really don't want to work""]","[""Work life balance was good"",""coll for the pros and good pay"",""Good benefits and a large company"",""The culture is great and cross"",""Great people to work with and exposure to global teams and various products used within the organization.""]",,"[""Health Insurance is amazing and unlimited PTO "",""They help cover so many areas of life."",""Unlimited PTO, good healthcare, 401k match""]"
"[""Let people run their stations and make money."",""under management and no room for growth"",""Low pay, for a lot of work."",""There is no work life balance."",""no benefits""]","[""Good people to work with"",""Good management and nice work enviroment with experienced teammates."",""The pay is decent and the work isn't hard work as a supervisor."",""Work life balance is acceptable"",""Great coworkers and average benefits""]",,"[""Great bene's and current manager takes time to explain and teach."",""Typical benefits package offered by most firms"",""Benefits are really good but can get costly. ""]"
"[""Pay is not good for position level"",""no benefits, overheads by company"",""NETFLIX culture seems amazing and friendly on the surface, but it's actually a little mean and cloaked in \""NETFLIX speech\"" and comportment."",""Failed keeping young and smart people."",""Senior leadership has so little work to do that they cause chaos and micromanage in order to justify their million dollar salaries.""]","[""The pay was good for entry level"",""Good benefits."",""Amazing culture and very diverse."",""Pays well, good people to work with"",""Good leadership""]",,"[""The benefits for health were amazing. "",""Incredibly comprehensive and supportive of me as a whole person"",""good experience as an intern""]"
"[""Pay is well below standard.""]","[""Great work life balance and great pay"",""Rich and high culture in working and relations"",""so many smart people with passion"",""good people and coworkers and nice building"",""Good benefits""]","At Stanford, you matter as much as the work
Our holistic approach to benefits helps you grow, recharge and care for yourself—and the people who matter most—at any life stage. From health, wellness and retirement to time off and educational assistance, we offer thoughtful benefits and many evidence-based perks designed to help you live your best life while doing the work of a lifetime.","[""Great retirement savings plan match and option to use doctors in the Stanford health network."",""I like the Arrillaga gym."",""Great benefits, including health insurance and retirement plans""]"
"[""Long hours and never ending busy season"",""Other benefits aren't market leading"",""not enough pay but the job is great.""]","[""Flexible hours and good co"",""Good pension benefits and nice culture to work in"",""It is a stable work environment""]",,"[""Good Health Insurance, Life Insurance and 401k.\nHard to take time off"",""Options for health insurance and generous contribution to 401k."",""So far so good, no complaints yet""]"
"[""Horrible culture they would tell you to do things a certain way then when funds were getting low they would write you up for the very thing that they told you to do so there was a justification for firing you."",""no benefits, such as insurance, offered"",""None to note other than sightly low compensation but still competitive""]","[""The Operations team have a great culture and have a lot of patience."",""Pay and benefits were good"",""Coworkers were good people and pleasant to work with"",""Was here for 2 years and learned a lot.""]","Your health and the health of your family is important to CTI. This is the reason we offer comprehensive health care coverage with ancillary benefit options to eligible employees and their families, and it is designed to focus on your total well-being.","[""401k, PTO, flexible work hours, health insurance + dental"",""There are a diversity of options. "",""Decent benefits for a small defense software dev company.""]"
"[""Marginal Benefits."",""behind on technology, Manuel systems""]","[""Good work life balance and a very pro"",""The pay and benefits are decent."",""Excellent benefits, security, controls and environment."",""It is a dead end job.""]",,"[""401k, health insurance for family"",""Great company, benefits and work environment."",""Great benefits! Insurance is great and affordable.""]"
